Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.symbol	Gene.name	Gene.description	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
S000003081	YGL113W	SLD3	Synthetically Lethal with Dpb11-1	Protein involved in the initiation of DNA replication; required for proper assembly of replication proteins at the origins of replication; interacts with the DDK-phosphorylated MCM complex and required for the recruitment of Cdc45p; localizes to nuclear foci that become diffuse upon DNA replication stress; homologous to the human Treslin/Ticrr protein	Verified	chrVII	295932	297938	1
S000003082	YGL114W	""	""	Putative protein of unknown function; predicted member of the oligopeptide transporter (OPT) family of membrane transporters	Uncharacterized	chrVII	293460	295637	1
S000003083	YGL115W	SNF4	Sucrose NonFermenting	Activating gamma subunit of the AMP-activated Snf1p kinase complex; additional subunits of the complex are Snf1p and a Sip1p/Sip2p/Gal83p family member; activates glucose-repressed genes, represses glucose-induced genes; role in sporulation, and peroxisome biogenesis; protein abundance increases in response to DNA replication stress	Verified	chrVII	292033	293001	1
S000003084	YGL116W	CDC20	Cell Division Cycle	Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress	Verified	chrVII	289809	291641	1
S000003085	YGL117W	ARO5	AROmatic amino acid requiring	Protein involved in aromatic amino acid biosynthesis; up-regulated following GCN4 induction, amino acid starvation, rapamycin treatment in GCN4-dependent manner; promoter contains Gcn4 control response element, which is bound by Gcn4p in vivo	Verified	chrVII	288512	289309	1
S000003086	YGL118C	""	""	Putative protein of unknown function; conserved among S. cerevisiae strains; YGL118C is not an essential gene	Uncharacterized	chrVII	288014	288451	-1
S000003087	YGL119W	COQ8	COenzyme Q	ATPase required for ubiquinone biosynthesis and respiratory growth; maintains levels of CoQ biosynthetic proteins; binds to CoQ biosynthesis intermediates; UbiB protein kinase-like family member that lacks canonical protein kinase activity; similar to prokaryotic proteins involved in ubiquinone biosynthesis; human homolog ADCK3 complements a coq8 null, is associated with CoQ and respiratory-chain deficiencies, and is mutated in autosomal-recessive cerebellar ataxia type 2	Verified	chrVII	284442	285947	1
S000003088	YGL120C	PRP43	Pre-mRNA Processing	RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p	Verified	chrVII	281634	283937	-1
S000003089	YGL121C	GPG1	G Protein Gamma	Proposed gamma subunit of the heterotrimeric G protein; interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p; overproduction causes prion curing	Verified	chrVII	280777	281157	-1
S000003090	YGL122C	NAB2	Nuclear polyAdenylated RNA-Binding	Nuclear polyadenylated RNA-binding protein; required for nuclear mRNA export and poly(A) tail length control; stimulates RNA polymerase III transcription by enhancing TFIIIB binding to promoters; dimerizes upon RNA binding; protects mRNA against decay by nuclear exosome in a poly(A)-tail-dependent manner; involved in forming export-competent mRNPs in the nucleus; autoregulates mRNA levels; NLS binds Kap104p; protein abundance increases under DNA replication stress; related to human hnRNPs	Verified	chrVII	278946	280523	-1
S000003091	YGL123W	RPS2	Ribosomal Protein of the Small subunit	Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; required for release of methyltransferase Bud23p from pre-40S precursor; homologous to mammalian ribosomal protein S2 and bacterial S5	Verified	chrVII	277617	278381	1
S000003092	YGL124C	MON1	MONensin sensitivity	Subunit of heterodimeric guanine nucleotide exchange factor (GEF); subunit of Mon1-Ccz1 GEF complex which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; role in localizing Ypt7p to vacuolar membrane; required for autophagy, CVT pathway, and mitophagy; targeted to vacuole via AP-3 pathway	Verified	chrVII	274780	276714	-1
S000003093	YGL125W	MET13	METhionine requiring	Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway	Verified	chrVII	272520	274322	1
S000003094	YGL126W	SCS3	Suppressor of Choline Sensitivity	Protein required for normal ER membrane biosynthesis in response to ER stress; ortholog of the FIT family of proteins involved in triglyceride droplet biosynthesis; human homolog FIT2/FITM2, a fatty acyl-CoA diphosphatase, complements the yeast null mutant; disputed role in the synthesis of inositol phospholipids from inositol; required for inositol prototrophy	Verified	chrVII	270997	272139	1
S000003095	YGL127C	SOH1	Suppressor Of Hpr1	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; involved in telomere maintenance; conserved with other metazoan MED31 subunits	Verified	chrVII	270392	270775	-1
S000003096	YGL128C	CWC23	Complexed With Cef1p	Component of a complex containing Cef1p; putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p	Verified	chrVII	269293	270144	-1
S000003097	YGL129C	RSM23	Ribosomal Small subunit of Mitochondria	Mitochondrial ribosomal protein of the small subunit; has similarity to mammalian apoptosis mediator proteins; null mutation prevents induction of apoptosis by overproduction of metacaspase Mca1p	Verified	chrVII	267723	269075	-1
S000003098	YGL130W	CEG1	Capping Enzyme Guanylyltransferase	Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p, the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant	Verified	chrVII	266145	267524	1
S000003099	YGL131C	SNT2	""	Subunit of Snt2C complex, RING finger ubiquitin ligase (E3); physically associates with Ecm5p and Rpd3p; along with Ecm5p, recruits Rpd3p to small number of promoters; colocalizes with Ecm5p, independently of Rpd3p, to promoters of stress response genes upon oxidative stress; involved in ubiquitination, degradation of excess histones; interacts with Ubc4p; role in regulating genes encoding amine transporters; relocalizes from nucleus to cytoplasm upon DNA replication stress	Verified	chrVII	261648	265859	-1
S000003100	YGL132W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SNT2/YGL131C	Dubious	chrVII	261580	261915	1
S000003101	YGL133W	ITC1	Imitation switch Two Complex	Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex; required for repression of a-specific genes, repression of early meiotic genes during mitotic growth, and repression of INO1; similar to mammalian Acf1p, the regulatory subunit of the mammalian ATP-utilizing chromatin assembly and modifying factor (ACF) complex; ITC1 has a paralog, YPL216W, that arose from the whole genome duplication	Verified	chrVII	257707	261501	1
S000003102	YGL134W	PCL10	Pho85 CycLin	Pho85p cyclin; recruits, activates, and targets Pho85p cyclin-dependent protein kinase to its substrate; PCL10 has a paralog, PCL8, that arose from the whole genome duplication	Verified	chrVII	255663	256964	1
S000003103	YGL135W	RPL1B	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L1B; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1B has a paralog, RPL1A, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal; ribosomes containing Rpl1b are more efficient in translation of respiration-related proteins	Verified	chrVII	254641	255294	1
S000003104	YGL136C	MRM2	Mitochondrial rRNA Methyl transferase	Mitochondrial 2' O-ribose methyltransferase; required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ	Verified	chrVII	252897	253859	-1
S000003105	YGL137W	SEC27	SECretory	Essential beta'-coat protein of the COPI coatomer; involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP	Verified	chrVII	249869	252738	1
S000003106	YGL138C	""	""	Putative protein of unknown function; has no significant sequence similarity to any known protein	Uncharacterized	chrVII	248494	249531	-1
S000003107	YGL139W	FLC3	FLavin Carrier	Putative FAD transporter, similar to Flc1p and Flc2p; localized to the ER; FLC3 has a paralog, FLC1, that arose from the whole genome duplication	Verified	chrVII	245716	248124	1
S000003108	YGL140C	""	""	Putative protein of unknown function; non-essential gene; contains multiple predicted transmembrane domains	Uncharacterized	chrVII	241353	245012	-1
S000003109	YGL141W	HUL5	Hect Ubiquitin Ligase	Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD; required for ubiquitination of a subset of cytosolic misfolded proteins upon heat shock	Verified	chrVII	238353	241085	1
S000003110	YGL142C	GPI10	GlycosylPhosphatidylInositol anchor biosynthesis	Integral membrane protein involved in GPI anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the glycosylphosphatidylinositol (GPI) core structure; human PIG-Bp is a functional homolog	Verified	chrVII	236269	238119	-1
S000003111	YGL143C	MRF1	Mitochondrial peptide chain Release Factor	Mitochondrial translation release factor RF1; involved in stop codon recognition and hydrolysis of peptidyl-tRNA bond during mitochondrial translation; lack of MRF1 causes mitochondrial genome instability	Verified	chrVII	234717	235958	-1
S000003112	YGL144C	ROG1	Revertant Of Glycogen synthase kinase mutation	Lipase with specificity for monoacylglycerol; preferred substrate is 1-oleoylglycerol; null mutation affects lipid droplet morphology and overexpression causes increased accumulation of reactive oxygen species	Verified	chrVII	232450	234507	-1
S000003113	YGL145W	TIP20	SEC20 (Twenty) Interacting Protein	Peripheral membrane protein required for COPI vesicle fusion to the ER; mediates Sey1p-independent homotypic ER fusion; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p	Verified	chrVII	230243	232348	1
S000003114	YGL146C	RRT6	Regulator of rDNA Transcription	Integral membrane protein, member of the p24 family; forms complex with Erp3p, Erp5p, and Emp24p; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription	Verified	chrVII	228751	229686	-1
S000003115	YGL147C	RPL9A	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication	Verified	chrVII	227754	228329	-1
